userId,itemId,rating
1,1,0.995333333
1,2,1.111333333
1,3,4.5
2,1,1.372666667
2,2,0.861333333
2,3,4.5
3,1,0.998
3,2,0.448
3,3,4.5
4,1,1.65
4,2,1.401333333
4,3,4.5
5,1,1.548
5,2,4.238
5,4,4.5
6,1,1.337333333
6,2,4.545333333
6,4,4.5
7,1,1.638
7,2,4.488
7,4,4.5
8,1,1.116666667
8,2,3.815333333
8,4,4.5
9,1,3.614666667
9,2,0.390666667
9,5,4.5
10,1,3.787333333
10,2,1.308666667
10,5,4.5
11,1,4.618
11,2,1.154
11,5,4.5
12,1,4.26
12,2,0.717333333
12,5,4.5
13,1,3.914666667
13,2,3.635333333
13,6,4.5
14,1,3.976666667
14,2,3.912
14,6,4.5
15,1,3.552
15,2,3.624666667
15,6,4.5
16,1,3.438
16,2,4.35
16,6,4.5
