userId,itemId,rating
1,1,0.145333333333333
1,2,0.252666666666667
2,1,0.174
2,2,0.510666666666667
3,1,0.414
3,2,0.455333333333333
4,1,0.314
4,2,0.620666666666667
5,1,0.653333333333333
5,2,4.38
6,1,0.213333333333333
6,2,4.69
7,1,0.547333333333333
7,2,4.356
8,1,0.428
8,2,4.66066666666667
9,1,4.89066666666667
9,2,0.598
10,1,5
10,2,0.0706666666666667
11,1,4.89
11,2,0.594
12,1,4.698
12,2,0.300666666666667
13,1,5
13,2,5
14,1,4.50533333333333
14,2,5
15,1,4.8
15,2,4.43933333333333
16,1,5
16,2,4.524
17,1,2.5
17,2,2.5
18,1,2.5
18,2,2.5
19,1,2.5
19,2,2.5
20,1,2.5
20,2,2.5
